"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 10-14 years","0.001846443","0.001930958","0.00175809","0.002485939","0.00257637","0.002390899","0.004127499","0.004230168","0.00401989","0.003692366","0.003790073","0.003589213","0.003709571","0.003805234","0.003605868"
"nqx - probability of dying between ages x and x+n"," 15-19  years","0.006592842","0.007262031","0.005885446","0.011021812","0.013589586","0.008315389","0.009351889","0.010641661","0.00797832","0.009605527","0.010495454","0.008645218","0.011757591","0.013126574","0.010246338"
"nqx - probability of dying between ages x and x+n"," 20-24 years","0.010002899","0.011028232","0.008917104","0.016901629","0.022091308","0.01126405","0.014267534","0.016201157","0.012183612","0.014518637","0.015072165","0.013909689","0.018144651","0.019893629","0.016203506"
"nqx - probability of dying between ages x and x+n"," 25-29 years","0.012354723","0.012665488","0.012018199","0.01723395","0.020378038","0.013727013","0.016632456","0.01729617","0.015931632","0.01765414","0.016691877","0.018744322","0.020680724","0.019840601","0.021586536"
"nqx - probability of dying between ages x and x+n"," 30-34 years","0.015413848","0.015209525","0.015639276","0.019689839","0.021798991","0.017387033","0.020049529","0.020189996","0.019897672","0.021182264","0.019562616","0.022988142","0.0242789","0.022619116","0.026043361"
"nqx - probability of dying between ages x and x+n"," 35-39 years","0.02162217","0.020201454","0.02315811","0.025435276","0.026283759","0.024496361","0.025850786","0.02447408","0.027326817","0.028414695","0.025685749","0.031391577","0.031884269","0.028959462","0.034995393"
"nqx - probability of dying between ages x and x+n"," 40-44 years","0.031897601","0.029996654","0.033984449","0.033985377","0.033678431","0.034319335","0.036148436","0.034771027","0.037608454","0.040591735","0.038544269","0.042804663","0.044900411","0.042949","0.046970136"
"nqx - probability of dying between ages x and x+n"," 45-49 years","0.046139535","0.043207557","0.049284212","0.04660772","0.045267718","0.04803552","0.050339194","0.048831501","0.051928147","0.057061647","0.055705366","0.058507392","0.062829967","0.062026409","0.063670363"
"nqx - probability of dying between ages x and x+n"," 50-54 years","0.068135379","0.064852479","0.071576594","0.067270823","0.065609771","0.069029242","0.073341706","0.07223507","0.074477859","0.083477512","0.083168501","0.08380182","0.091890262","0.092830048","0.09101412"
"nqx - probability of dying between ages x and x+n"," 55-59 years","0.099018332","0.094174129","0.104015719","0.096214941","0.093346627","0.099138335","0.103837467","0.102308055","0.105374092","0.117092397","0.117262782","0.11693433","0.12752345","0.129482957","0.125511709"
"nqx - probability of dying between ages x and x+n"," 60-64 years","0.14248063","0.139770796","0.145155739","0.137630466","0.137216474","0.138036636","0.147711319","0.149529332","0.146092645","0.163664158","0.16765694","0.159643981","0.175942524","0.18233711","0.169601622"
"nqx - probability of dying between ages x and x+n"," 65-69 years","0.197716772","0.196388406","0.198949086","0.190341403","0.191877761","0.189018487","0.201649613","0.206042693","0.197478171","0.219700045","0.227776641","0.211869828","0.233463483","0.245067561","0.222315676"
"nqx - probability of dying between ages x and x+n"," 70-74 years","0.278596545","0.272820332","0.283280697","0.266567566","0.263960955","0.268909901","0.279933991","0.280739738","0.279208155","0.301222432","0.306566933","0.296323453","0.317565986","0.326861191","0.308483542"
"nqx - probability of dying between ages x and x+n"," 75-79 years","0.383831983","0.371397533","0.39442183","0.366915468","0.357178103","0.375033316","0.381337344","0.376343838","0.385573177","0.404044186","0.404248224","0.403859401","0.420805626","0.425738587","0.416347332"
"nqx - probability of dying between ages x and x+n"," 80-84 years","0.519937734","0.505250869","0.531223477","0.500646094","0.487542316","0.510815159","0.516370263","0.510855531","0.520947529","0.537945058","0.539084917","0.536998869","0.552953147","0.559871547","0.547184919"
