measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,80,France,3,Both,18,65-69 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,6289.982162890536,7026.374724742117,5553.581962221906
1,Deaths,80,France,1,Male,19,70-74 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,4663.613977049825,5357.992108287221,3986.3779466232672
1,Deaths,80,France,2,Female,19,70-74 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,1410.7664576080986,1757.6071237944645,1096.957958344505
1,Deaths,80,France,3,Both,19,70-74 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,6074.380434657924,6855.092238430738,5253.430910294627
1,Deaths,80,France,1,Male,20,75-79 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,3321.1845938800548,3883.271192538365,2763.948745878901
1,Deaths,80,France,2,Female,20,75-79 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,1117.6815142064222,1396.5429032774798,864.1745476876589
1,Deaths,80,France,3,Both,20,75-79 years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,4438.866108086477,5074.7952226521675,3795.914709642816
1,Deaths,80,France,1,Male,30,80-84,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,3049.286995136654,3794.0073639080615,2378.1477974582476
1,Deaths,80,France,2,Female,30,80-84,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,1224.8428576600452,1594.1147151339255,886.5861586549265
1,Deaths,80,France,3,Both,30,80-84,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,4274.129852796696,5121.548491915019,3462.2256838567105
1,Deaths,80,France,1,Male,160,85+ years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,3390.222729030861,4125.9356007946635,2694.56685795738
1,Deaths,80,France,2,Female,160,85+ years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,2215.2943643377403,2833.455780661465,1603.963546811566
1,Deaths,80,France,3,Both,160,85+ years,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,5605.517093368609,6716.750059071397,4416.468079332407
1,Deaths,80,France,1,Male,8,15-19 years,429,Breast cancer,1,Number,2019,0.2116533530172286,0.24187465375446765,0.18323484361991724
1,Deaths,80,France,2,Female,8,15-19 years,429,Breast cancer,1,Number,2019,1.0650545057665062,1.705419785681141,0.6613071721278021
1,Deaths,80,France,3,Both,8,15-19 years,429,Breast cancer,1,Number,2019,1.2767078587837362,1.9282762498290773,0.8681669571833066
1,Deaths,80,France,1,Male,9,20-24 years,429,Breast cancer,1,Number,2019,0.2041818158933146,0.22724452297863337,0.17867025970906478
1,Deaths,80,France,2,Female,9,20-24 years,429,Breast cancer,1,Number,2019,3.0510818486727045,4.079883884922519,2.1239719339789382
1,Deaths,80,France,3,Both,9,20-24 years,429,Breast cancer,1,Number,2019,3.25526366456602,4.29810855358373,2.3329722491334253
1,Deaths,80,France,1,Male,10,25-29 years,429,Breast cancer,1,Number,2019,0.20130957687654477,0.22549986320479207,0.17618308368144464
1,Deaths,80,France,2,Female,10,25-29 years,429,Breast cancer,1,Number,2019,15.478006986468406,20.012982993064128,11.398262634821275
1,Deaths,80,France,3,Both,10,25-29 years,429,Breast cancer,1,Number,2019,15.679316563344944,20.19889661730055,11.607215597575724
1,Deaths,80,France,1,Male,11,30-34 years,429,Breast cancer,1,Number,2019,0.35143321439429864,0.7446039861254633,0.1972628322582838
1,Deaths,80,France,2,Female,11,30-34 years,429,Breast cancer,1,Number,2019,73.43846547025761,93.53121583723816,56.41587758040889
1,Deaths,80,France,3,Both,11,30-34 years,429,Breast cancer,1,Number,2019,73.789898684652,93.78255825438704,56.62259891117095
1,Deaths,80,France,1,Male,12,35-39 years,429,Breast cancer,1,Number,2019,0.7498135018977818,1.4803193015706508,0.342094786439559
1,Deaths,80,France,2,Female,12,35-39 years,429,Breast cancer,1,Number,2019,172.34089263329346,211.73437790332196,138.46400055183622
1,Deaths,80,France,3,Both,12,35-39 years,429,Breast cancer,1,Number,2019,173.09070613519143,212.784565079435,139.09528929813942
1,Deaths,80,France,1,Male,13,40-44 years,429,Breast cancer,1,Number,2019,1.8442890462252928,3.6787660244241347,0.8049669895009223
1,Deaths,80,France,2,Female,13,40-44 years,429,Breast cancer,1,Number,2019,305.2925210672334,367.4971934902234,248.34967582253452
1,Deaths,80,France,3,Both,13,40-44 years,429,Breast cancer,1,Number,2019,307.13681011345824,368.9827207294961,250.29742211180488
1,Deaths,80,France,1,Male,14,45-49 years,429,Breast cancer,1,Number,2019,3.5228954300914976,6.235262258697396,1.848244709467859
1,Deaths,80,France,2,Female,14,45-49 years,429,Breast cancer,1,Number,2019,531.7721709744524,639.3391904410324,440.3953360812722
1,Deaths,80,France,3,Both,14,45-49 years,429,Breast cancer,1,Number,2019,535.2950664045447,642.0880549252224,442.85297156363
1,Deaths,80,France,1,Male,15,50-54 years,429,Breast cancer,1,Number,2019,6.05136651226561,10.472293028032494,3.09569893853614
1,Deaths,80,France,2,Female,15,50-54 years,429,Breast cancer,1,Number,2019,781.894242027008,941.3857372682355,639.5092716781522
1,Deaths,80,France,3,Both,15,50-54 years,429,Breast cancer,1,Number,2019,787.9456085392741,947.7963924527221,645.3487848799053
1,Deaths,80,France,1,Male,16,55-59 years,429,Breast cancer,1,Number,2019,11.20617069568251,17.43786719593494,6.888459607867255
1,Deaths,80,France,2,Female,16,55-59 years,429,Breast cancer,1,Number,2019,1033.041846254604,1235.5399130715073,852.6048417604419
1,Deaths,80,France,3,Both,16,55-59 years,429,Breast cancer,1,Number,2019,1044.2480169502842,1247.323050850354,862.5414636556771
1,Deaths,80,France,1,Male,17,60-64 years,429,Breast cancer,1,Number,2019,16.3275511787601,25.158988785623,9.504270707945391
1,Deaths,80,France,2,Female,17,60-64 years,429,Breast cancer,1,Number,2019,1232.1825140415851,1481.4313111305762,1015.9666523051317
1,Deaths,80,France,3,Both,17,60-64 years,429,Breast cancer,1,Number,2019,1248.510065220348,1492.3469764546192,1035.2599654098983
1,Deaths,80,France,1,Male,18,65-69 years,429,Breast cancer,1,Number,2019,22.295802384705993,36.03258395679207,12.773770435074699
1,Deaths,80,France,2,Female,18,65-69 years,429,Breast cancer,1,Number,2019,1537.5729354089522,1826.7195847088053,1253.4719031027662
